control_id,standard,statement_verbatim,source_pdf,rev3_equivalent_id,rev3_statement_verbatim,lliam_owner,evidence_artifact,cross_mappings,current_state,notes
SP800-171_3.5.10,SP 800-171 Rev. 2,"3.5.10   Store and transmit only cryptographically-protected passwords.

  CHAPTER THREE                                                                                          PAGE 25

  DISCUSSION
  Cryptographically-protected passwords use salted one-way cryptographic hashes of passwords.
  See [NIST CRYPTO].",NIST_SP_800-171_r2.pdf,03.05.10,"03.05.10 Withdrawn
  Incorporated into 03.05.07.",lliam_gov/security/key_manager.py (keyring-only secret store),evidence/phase3/smoke-20260610T004426Z/03-rotate-key.txt,ISO 27001 A.5.17 / A.8.5,evidence_captured," | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.8.9,SP 800-171 Rev. 2,"3.8.9    Protect the confidentiality of backup CUI at storage locations.

  For ease of use, the security requirements are organized into fourteen families. Each family
  contains the requirements related to the general security topic of the family. The families are
  closely aligned with the minimum-security requirements for federal information and systems
  described in [FIPS 200]. The contingency planning, system and services acquisition, and planning
  requirements are not included within the scope of this publication due to the tailoring criteria. 18
  Table 1 lists the security requirement families addressed in this publication.

  TABLE 1: SECURITY REQUIREMENT FAMILIES

  FAMILY                                                    FAMILY
  Access Control                                              Media Protection
  Awareness and Training                                      Personnel Security
  Audit and Accountability                                    Physical Protection
  Configuration Management                                    Risk Assessment
  Identification and Authentication                           Security Assessment
  Incident Response                                           System and Communications Protection
  Maintenance                                                 System and Information Integrity

  18 Three exceptions include: a requirement to protect the confidentiality of system backups (derived from CP-9) from

  the contingency planning family; a requirement to develop and implement a system security plan (derived from PL-2)
  from the planning family; and a requirement to implement system security engineering principles (derived from SA-8)
  from the system and services acquisition family. The requirements are included in the CUI media protection, security
  assessment, and system and communications protection requirements families, respectively.

  CHAPTER TWO                                                                                                   PAGE 7

  A discussion section follows each CUI security requirement providing additional information to
  facilitate the implementation and assessment of the requirements. This information is derived
  primarily from the security controls discussion sections in [SP 800-53] and is provided to give
  organizations a better understanding of the mechanisms and procedures used to implement the
  controls used to protect CUI. The discussion section is informative, not normative. It is not
  intended to extend the scope of a requirement or to influence the solutions organizations may
  use to satisfy a requirement. The use of examples is notional, not exhaustive, and not reflective
  of potential options available to organizations. Figure 1 illustrates basic security requirement
  3.8.3 with its supporting discussion section and informative references.

This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-171r2",NIST_SP_800-171_r2.pdf,03.08.09,"03.08.09 System Backup – Cryptographic Protection
  a. Protect the confidentiality of backup information.
  b. Implement cryptographic mechanisms to prevent the unauthorized disclosure of
  CUI at backup storage locations.

  DISCUSSION
  The selection of cryptographic mechanisms is based on the need to protect the
  confidentiality of backup information. Hardware security module (HSM) devices
  safeguard and manage cryptographic keys and provide cryptographic processing.
  Cryptographic operations (e.g., encryption, decryption, and signature generation
  and verification) are typically hosted on the HSM device, and many implementations
  provide hardware-accelerated mechanisms for cryptographic operations. This
  requirement is related to 03.13.11.

  REFERENCES
  Source Controls: CP-09, CP-09(08)
  Supporting Publications: SP 800-34 [52], SP 800-130 [53], SP 800-152 [54]

3.9. Personnel Security

03.09.01 Personnel Screening
  a. Screen individuals prior to authorizing access to the system.
  b. Rescreen individuals in accordance with [Assignment: organization-defined
  conditions requiring rescreening].

  DISCUSSION
  Personnel security screening activities involve the assessment of the conduct,
  integrity, judgment, loyalty, reliability, and stability of an individual (i.e., the
  individual’s trustworthiness) prior to authorizing access to the system or when
  elevating system access. The screening and rescreening activities reflect applicable
  federal laws, Executive Orders, directives, policies, regulations, and criteria
  established for the level of access required for the assigned position.

  48

NIST SP 800-171r3                                          Protecting Controlled Unclassified Information
May 2024

  REFERENCES
  Source Control: PS-03
  Supporting Publications: SP 800-181 [34]

03.09.02 Personnel Termination and Transfer
  a. When individual employment is terminated:
  1. Disable system access within [Assignment: organization-defined time p",lliam_gov/security/key_manager.py (AES-256-GCM on backups),evidence/audit/backup-encryption-test.txt,ISO 27001 A.8.13; ISO 42001 A.4.3,evidence_captured,"Backup zip encrypted at rest (AES-256-GCM, Keychain-anchored) when LLIAM_GOV_ENCRYPT_STATE=1; fail-closed if encryption fails. Encrypted backups are bound to the current key: take a fresh backup after rotate-key (AI-279). | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.13.1,SP 800-171 Rev. 2,"3.13.1   Monitor, control, and protect communications (i.e., information transmitted or received by
  organizational systems) at the external boundaries and key internal boundaries of
  organizational systems.

  DISCUSSION
  Communications can be monitored, controlled, and protected at boundary components and by
  restricting or prohibiting interfaces in organizational systems. Boundary components include
  gateways, routers, firewalls, guards, network-based malicious code analysis and virtualization
  systems, or encrypted tunnels implemented within a system security architecture (e.g., routers
  protecting firewalls or application gateways residing on protected subnetworks). Restricting or
  prohibiting interfaces in organizational systems includes restricting external web communications
  traffic to designated web servers within managed interfaces and prohibiting external traffic that
  appears to be spoofing internal addresses.
  Organizations consider the shared nature of commercial telecommunications services in the
  implementation of security requirements associated with the use of such services. Commercial
  telecommunications services are commonly based on network components and consolidated
  management systems shared by all attached commercial customers and may also include third
  party-provided access lines and other service elements. Such transmission services may represent
  sources of increased risk despite contract security provisions.
  [SP 800-41] provides guidance on firewalls and firewall policy. [SP 800-125B] provides guidance on
  security for virtualization technologies.",NIST_SP_800-171_r2.pdf,03.13.01,"03.13.01 Boundary Protection
  a. Monitor and control communications at external managed interfaces to the
  system and key internal managed interfaces within the system.
  b. Implement subnetworks for publicly accessible system components that are
  physically or logically separated from internal networks.
  c. Connect to external systems only through managed interfaces that consist of
  boundary protection devices arranged in accordance with an organizational
  security architecture.

  DISCUSSION
  Managed interfaces include gateways, routers, firewalls, network-based malicious
  code analysis, virtualization systems, and encrypted tunnels implemented within a
  security architecture. Subnetworks that are either physically or logically separated
  from internal networks are referred to as demilitarized zones or DMZs. Restricting or
  prohibiting interfaces within organizational systems includes restricting external web
  traffic to designated web servers within managed interfaces, prohibiting external
  traffic that appears to be spoofing internal addresses, and prohibiting internal traffic
  that appears to be spoofing external addresses.

  REFERENCES
  Source Control: SC-07
  Supporting Publications: SP 800-41 [64], SP 800-125B [65], SP 800-160-1 [11], SP
  800-189 [67], SP 800-207 [66]","lliam_gov/security/egress.py + gateway/platforms/{slack,email,telegram}.py (other adapters deleted)",evidence/audit/egress-policy-test.txt,ISO 27001 A.8.20-A.8.23,evidence_captured,"AI-220 boundary egress control at the httpx choke point. Test: tests/lliam_gov/test_egress.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.13.8,SP 800-171 Rev. 2,"3.13.8   Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during
  transmission unless otherwise protected by alternative physical safeguards.

  DISCUSSION
  This requirement applies to internal and external networks and any system components that can
  transmit information including servers, notebook computers, desktop computers, mobile devices,
  printers, copiers, scanners, and facsimile machines. Communication paths outside the physical
  protection of controlled boundaries are susceptible to both interception and modification.
  Organizations relying on commercial providers offering transmission services as commodity
  services rather than as fully dedicated services (i.e., services which can be highly specialized to
  individual customer needs), may find it difficult to obtain the necessary assurances regarding the
  implementation of the controls for transmission confidentiality. In such situations, organizations
  determine what types of confidentiality services are available in commercial telecommunication
  service packages. If it is infeasible or impractical to obtain the necessary safeguards and assurances
  of the effectiveness of the safeguards through appropriate contracting vehicles, organizations
  implement compensating safeguards or explicitly accept the additional risk. An example of an
  alternative physical safeguard is a protected distribution system (PDS) where the distribution
  medium is protected against electronic or physical intercept, thereby ensuring the confidentiality
  of the information being transmitted. See [NIST CRYPTO].",NIST_SP_800-171_r2.pdf,03.13.08,"03.13.08 Transmission and Storage Confidentiality
  Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI
  during transmission and while in storage.

  DISCUSSION
  This requirement applies to internal and external networks and any system
  components that can transmit CUI, including servers, notebook computers, desktop
  computers, mobile devices, printers, copiers, scanners, facsimile machines, and
  radios. Unprotected communication paths are susceptible to interception and
  modification. Encryption protects CUI from unauthorized disclosure during
  transmission and while in storage. Cryptographic mechanisms that protect the
  confidentiality of CUI during transmission include TLS and IPsec. Information in
  storage (i.e., information at rest) refers to the state of CUI when it is not in process
  or in transit and resides on internal or external storage devices, storage area
  network devices, and databases. Protecting CUI in storage does not focus on the
  type of storage device or the frequency of access to that device but rather on the
  state of the information. This requirement relates to 03.13.11.

  REFERENCES
  Source Controls: SC-08, SC-08(01), SC-28, SC-28(01)
  Supporting Publications: FIPS 140-3 [38], FIPS 197 [68], SP 800-46 [14], SP 800-52
  [69], SP 800-56A [73], SP 800-56B [74], SP 800-56C [75], SP 800-57-1 [15], SP 800-57-
  2 [16], SP 800-57-3 [17], SP 800-77 [18], SP 800-111 [51], SP 800-113 [19], SP 800-
  114 [20], SP 800-121 [21], SP 800-124 [28], SP 800-177 [70]","lliam_gov/security/egress.py (TLS 1.2+, verify=True)",evidence/audit/egress-policy-test.txt,ISO 27001 A.8.24,evidence_captured,"AI-220 TLS posture; verify=False refused (EgressTLSViolation). Test: tests/lliam_gov/test_egress.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.13.11,SP 800-171 Rev. 2,"3.13.11    Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.

  DISCUSSION
  Cryptography can be employed to support many security solutions including the protection of
  controlled unclassified information, the provision of digital signatures, and the enforcement of
  information separation when authorized individuals have the necessary clearances for such
  information but lack the necessary formal access approvals. Cryptography can also be used to
  support random number generation and hash generation. Cryptographic standards include FIPS-
  validated cryptography and/or NSA-approved cryptography. See [NIST CRYPTO]; [NIST CAVP];
  and [NIST CMVP].",NIST_SP_800-171_r2.pdf,03.13.11,"03.13.11        Cryptographic Protection
  Implement the following types of cryptography when used to protect the confidentiality of
  CUI: [Assignment: organization-defined types of cryptography].

  DISCUSSION
  Cryptography is implemented in accordance with applicable laws, Executive Orders,
  directives, policies, regulations, standards, and guidelines. FIPS-validated cryptography is
  recommended for the protection of CUI.

  REFERENCES
  Source Control: SC-13
  Supporting Publications: FIPS 140-3 [38]

The term organization is used in many security requirements, and its meaning depends on
context. For example, in a security requirement with an ODP, an organization can refer to either
the federal agency or the nonfederal organization establishing the parameter values for the
requirement.

Appendix C describes the security control tailoring criteria used to develop the security
requirements and the results of the tailoring process. The appendix provides a list of controls
from SP 800-53 that support the requirements and the controls that have been eliminated from
the moderate baseline in accordance with the tailoring criteria.

  ASSESSING SECURITY REQUIREMENTS
  SP 800-171A [84] provides a set of procedures to assess the security requirements described in
  this publication. The assessment procedures are based on the procedures described in SP 800-53A
  [57].

15 With few exceptions, the security controls in SP 800-53 are policy-, technology-, and sector-neutral, meaning that the controls focus on the

fundamental measures necessary to protect information across the information life cycle.

  5

NIST SP 800-171r3                                            Protecting Controlled Unclassified Information
May 2024

3. The Security Requirements
This section describes 17 families of security requirements for protecting the confidentiality of
CUI in nonfederal systems and organizations. When used in the context of the requirements in
Sec. 3, the term system is defined",lliam_gov/security/runtime_guard.py (FIPS-OpenSSL hard gate),evidence/audit/fips-mode-startup-check.txt + evidence/audit/poam-rescope-2026-06-12-ai282.md,ISO 27001 A.8.24; FIPS 140-3,not_implemented,"POA&M re-scoped 2026-06-12 (AI-282): the control trigger is CUI presence. Current deployment target is the owner's personally-owned MacBook — outside any CMMC L2 boundary — and no CUI is processed (CUI handling is audit-only custody per AI-223, no gating). The affirmative FIPS module is therefore CONDITIONAL: required only if Katmai approves a CUI-in-scope deployment on a Katmai-managed device after demo + audit of the security package. Enforcing control today: runtime_guard.fips_check fails closed — the production/CUI posture refuses to start on a non-FIPS backend. Provisioning path if approved: FIPS-enabled base image (Ubuntu Pro FIPS / RHEL UBI) or cryptography built against the OpenSSL 3.x FIPS provider (CMVP-certified); Apple CoreCrypto is validated but unreachable from the bundled-OpenSSL python cryptography wheels."
SP800-171_3.13.16,SP 800-171 Rev. 2,"3.13.16    Protect the confidentiality of CUI at rest.

  DISCUSSION
  Information at rest refers to the state of information when it is not in process or in transit and is
  located on storage devices as specific components of systems. The focus of protection at rest is
  not on the type of storage device or the frequency of access but rather the state of the
  information. Organizations can use different mechanisms to achieve confidentiality protections,
  including the use of cryptographic mechanisms and file share scanning. Organizations may also
  use other controls including secure off-line storage in lieu of online storage when adequate
  protection of information at rest cannot otherwise be achieved or continuous monitoring to
  identify malicious code at rest. See [NIST CRYPTO].",NIST_SP_800-171_r2.pdf,03.13.16,"03.13.16 Withdrawn
  Incorporated into 03.13.08.

3.14. System and Information Integrity

03.14.01 Flaw Remediation
  a. Identify, report, and correct system flaws.
  b. Install security-relevant software and firmware updates within [Assignment:
  organization-defined time period] of the release of the updates.

  DISCUSSION
  Organizations identify systems that are affected by announced software and
  firmware flaws, including potential vulnerabilities that result from those flaws, and
  report this information to designated personnel with information security

  63

NIST SP 800-171r3                                          Protecting Controlled Unclassified Information
May 2024

  responsibilities. Security-relevant updates include patches, service packs, hot fixes,
  and anti-virus signatures. Organizations address the flaws discovered during security
  assessments, continuous monitoring, incident response activities, and system error
  handling. Organizations can take advantage of available resources (e.g., CWE or CVE
  databases) when remediating system flaws. Organization-defined time periods for
  updating security-relevant software and firmware may vary based on a variety of
  factors, including the criticality of the update (i.e., severity of the vulnerability
  related to the discovered flaw). Some types of flaw remediation may require more
  testing than other types.

  REFERENCES
  Source Control: SI-02
  Supporting Publications: SP 800-39 [60], SP 800-40 [56], SP 800-128 [41]

03.14.02 Malicious Code Protection
  a. Implement malicious code protection mechanisms at system entry and exit
  points to detect and eradicate malicious code.
  b. Update malicious code protection mechanisms as new releases are available in
  accordance with configuration management policies and procedures.
  c. Configure malicious code protection mechanisms to:
  1. Perform scans of the system [Assignment: organization-defined frequency]
  and real-time scans of files from ext",lliam_gov/security/key_manager.py,evidence/phase3/smoke-20260610T004426Z/06-managed-state-end.txt,ISO 27001 A.8.24; ISO 42001 A.4.3,evidence_captured," | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.14.2,SP 800-171 Rev. 2,"3.14.2   Provide protection from malicious code at designated locations within organizational systems.

  DISCUSSION
  Designated locations include system entry and exit points which may include firewalls, remote-
  access servers, workstations, electronic mail servers, web servers, proxy servers, notebook

This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-171r2
  computers, and mobile devices. Malicious code includes viruses, worms, Trojan horses, and
  spyware. Malicious code can be encoded in various formats (e.g., UUENCODE, Unicode), contained
  within compressed or hidden files, or hidden in files using techniques such as steganography.
  Malicious code can be inserted into systems in a variety of ways including web accesses, electronic
  mail, electronic mail attachments, and portable storage devices. Malicious code insertions occur
  through the exploitation of system vulnerabilities.
  Malicious code protection mechanisms include anti-virus signature definitions and reputation-
  based technologies. A variety of technologies and methods exist to limit or eliminate the effects of
  malicious code. Pervasive configuration management and comprehensive software integrity
  controls may be effective in preventing execution of unauthorized code. In addition to commercial
  off-the-shelf software, malicious code may also be present in custom-built software. This could
  include logic bombs, back doors, and other types of cyber-attacks that could affect organizational
  missions/business functions. Traditional malicious code protection mechanisms cannot always
  detect such code. In these situations, organizations rely instead on other safeguards including
  secure coding practices, configuration management and control, trusted procurement processes,
  and monitoring practices to help ensure that software does not perform functions other than the
  functions intended.
  [SP 800-83] provides guidance on malware incident prevention.",NIST_SP_800-171_r2.pdf,03.14.02,"03.14.02 Malicious Code Protection
  a. Implement malicious code protection mechanisms at system entry and exit
  points to detect and eradicate malicious code.
  b. Update malicious code protection mechanisms as new releases are available in
  accordance with configuration management policies and procedures.
  c. Configure malicious code protection mechanisms to:
  1. Perform scans of the system [Assignment: organization-defined frequency]
  and real-time scans of files from external sources at endpoints or system
  entry and exit points as the files are downloaded, opened, or executed; and
  2. Block malicious code, quarantine malicious code, or take other mitigation
  actions in response to malicious code detection.

  DISCUSSION
  Malicious code insertions occur through the exploitation of system vulnerabilities.
  Malicious code can be inserted into the system in a variety of ways, including email,
  the internet, and portable storage devices. Malicious code includes viruses, worms,
  Trojan horses, and spyware. Malicious code can be encoded in various formats,
  contained in compressed or hidden files, or hidden in files using techniques such as
  steganography. Malicious code may be present in commercial off-the-shelf software
  and custom-built software and could include logic bombs, backdoors, and other
  types of attacks that could affect organizational mission and business functions.
  Periodic scans of the system and real-time scans of files from external sources as
  files are downloaded, opened, or executed can detect malicious code. Malicious
  code protection mechanisms can also monitor systems for anomalous or unexpected
  behaviors and take appropriate actions.

  64

NIST SP 800-171r3                                         Protecting Controlled Unclassified Information
May 2024

  Malicious code protection mechanisms include signature- and non-signature-based
  technologies. Non-signature-based detection mechanisms include artificial
  intelligen",evidence/sbom/ + hermes_cli/security_advisories.py + Katmai endpoint EDR (host-level),evidence/sbom/cyclonedx-2026-06-12.json,ISO 27001 A.8.7 / A.8.8,evidence_captured,AI-227 CycloneDX SBOM (223 components) from frozen uv.lock. Test: tests/scripts/test_phase5_pentest.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | 2026-06-16: SBOM (cyclonedx-2026-06-16.json) + pip-audit (pip-audit-2026-06-16.json) + dependency-review-2026-06-16.md capture the vuln-management process on the rebuilt tree.
SP800-171_3.14.3,SP 800-171 Rev. 2,"3.14.3   Monitor system security alerts and advisories and take action in response.

  DISCUSSION
  There are many publicly available sources of system security alerts and advisories. For example,
  the Department of Homeland Security’s Cybersecurity and Infrastructure Security Agency (CISA)
  generates security alerts and advisories to maintain situational awareness across the federal
  government and in nonfederal organizations. Software vendors, subscription services, and
  industry information sharing and analysis centers (ISACs) may also provide security alerts and
  advisories. Examples of response actions include notifying relevant external organizations, for
  example, external mission/business partners, supply chain partners, external service providers,
  and peer or supporting organizations
  [SP 800-161] provides guidance on supply chain risk management.

  Derived Security Requirements",NIST_SP_800-171_r2.pdf,03.14.03,"03.14.03 Security Alerts, Advisories, and Directives
  a. Receive system security alerts, advisories, and directives from external
  organizations on an ongoing basis.
  b. Generate and disseminate internal system security alerts, advisories, and
  directives, as necessary.

  DISCUSSION
  There are many publicly available sources of system security alerts and advisories.
  The Department of Homeland Security’s Cybersecurity and Infrastructure Security
  Agency (CISA), the National Security Agency (NSA), and the Federal Bureau of
  Investigation (FBI) generate security alerts and advisories to maintain situational
  awareness across the Federal Government and in nonfederal organizations.
  Software vendors, subscription services, and industry Information Sharing and
  Analysis Centers (ISACs) may also provide security alerts and advisories. Compliance
  with security directives is essential due to the critical nature of many of these
  directives and the potential immediate adverse effects on organizational operations

  65

NIST SP 800-171r3                                          Protecting Controlled Unclassified Information
May 2024

  and assets, individuals, other organizations, and the Nation should the directives not
  be implemented in a timely manner.

  REFERENCES
  Source Control: SI-05
  Supporting Publications: SP 800-161 [33]",evidence/sbom/ + hermes_cli/security_advisories.py (quarterly cadence),evidence/sbom/dependency-bump-2026-06-12.md + evidence/sbom/dependency-residual-2026-06-12-ai321.md,ISO 27001 A.5.7,evidence_captured,"AI-227/AI-320 dependency review + remediation (7 CVEs cleared, 2 documented residual); AI-321 cleared starlette PYSEC-2026-161 (FastAPI 0.136.3 + starlette 1.3.1), 1 residual remains (pynacl, upstream discord.py cap, not in governed profile). Test: tests/scripts/test_phase5_pentest.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | 2026-06-16: SBOM (cyclonedx-2026-06-16.json) + pip-audit (pip-audit-2026-06-16.json) + dependency-review-2026-06-16.md capture the vuln-management process on the rebuilt tree."
ISO42001_A.3.2,ISO/IEC 42001:2023,"A.3.2               AI roles and responsibilities                    Roles and responsibilities for AI shall be defined and allo-
  cated according to the needs of the organization.",ISO_42001-2023.pdf,,,lliam_gov/security/principal.py + AIMS RACI,docs/governance/raci.md,ISO 27001 A.5.2 / A.5.3,implemented,Plan §3.4 cited A.10.2 'Allocation of responsibilities' — actual ID is A.3.2 'AI roles and responsibilities' | 2026-06-16: documented information authored in docs/governance/aims/aims-documented-information.md.
ISO42001_A.4.3,ISO/IEC 42001:2023,"A.4.3               Data resources                                   As part of resource identification, the organization shall
  document information about the data resources utilized
  for the AI system.",ISO_42001-2023.pdf,,,lliam_gov/security/key_manager.py + lliam_gov/security/cui.py,evidence/phase3/smoke-20260610T004426Z/06-managed-state-end.txt,SP 800-171 §3.13.16; ISO 27001 A.8.24,evidence_captured,"Plan §3.4 cited A.8.4 'Data governance' — actual A.8.4 is 'Communication of incidents'; data governance lives at A.4.3 'Data resources' | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
ISO42001_A.5.2,ISO/IEC 42001:2023,"A.5.2               AI system impact assessment                      The organization shall establish a process to assess the
  process                                          potential consequences for individuals or groups of indi-
  viduals, or both, and societies that can result from the AI
  system throughout its life cycle.",ISO_42001-2023.pdf,,,lliam_gov/security/selfmod_gate.py + docs/governance/impact-assessment.md,docs/governance/impact-assessment.md,—,implemented,Plan §3.4 cited A.8.2 — actual ID is A.5.2 'AI system impact assessment' | 2026-06-16: documented information authored in docs/governance/aims/aims-documented-information.md.
ISO42001_A.6.1.2,ISO/IEC 42001:2023,"A.6.1.2             Objectives for responsible develop- The organization shall identify and document objectives
  ment of AI system                   to guide the responsible development AI systems, and take
  those objectives into account and integrate measures to
  achieve them in the development life cycle.",ISO_42001-2023.pdf,,,docs/governance/control-matrix.md + plan §1,docs/governance/control-matrix.md,—,implemented,Plan §3.4 cited A.9.2 — actual ID is A.6.1.2 'Objectives for responsible development of AI systems' | 2026-06-16: documented information authored in docs/governance/aims/aims-documented-information.md.
ISO42001_A.6.2.4,ISO/IEC 42001:2023,"A.6.2.4             AI system verification and valida-               The organization shall define and document verification
  tion                                             and validation measures for the AI system and specify
  criteria for their use.",ISO_42001-2023.pdf,,,lliam_gov/security/selfmod_gate.py,evidence/audit/selfmod-gate-test.txt,—,evidence_captured,"AI-222 self-mod approval gate (stage-never-apply, human approval). Test: tests/lliam_gov/test_selfmod_gate.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
ISO42001_A.6.2.6,ISO/IEC 42001:2023,"A.6.2.6             AI system operation and monitor-                 The organization shall define and document the necessary
  ing                                              elements for the ongoing operation of the AI system. At the
  minimum, this should include system and performance
  monitoring, repairs, updates and support.",ISO_42001-2023.pdf,,,docs/operate/phase3-smoke-runbook.md + lliam_gov/security/audit_logger.py + hermes_cli/audit_cli.py,evidence/audit/operation-monitoring-2026-06.md,—,evidence_captured,"Operation & monitoring document authored (AI-281): runtime profile, audit-chain monitoring, fail-closed alerting, performance baselines, monthly/phase-gate review cadence. Owner field corrected — previously pointed at nonexistent selfmod_gate.py (that module is Phase 4 LG-4.5 scope). | 2026-06-16: artifact verified present on clean v2026.6.5 rebuild."
ISO42001_A.6.2.8,ISO/IEC 42001:2023,"A.6.2.8             AI system recording of event logs                The organization shall determine at which phases of the
  AI system life cycle, record keeping of event logs should be
  enabled, but at the minimum when the AI system is in use.
  A.7 Data for AI systems
  Objective: To ensure that the organization understands the role and impacts of data in AI systems in the appli-
  cation and development, provision or use of AI systems throughout their life cycles.
  Topic                                            Control",ISO_42001-2023.pdf,,,lliam_gov/security/audit_logger.py,evidence/phase3/smoke-20260610T004426Z/02-audit-begin.txt,ISO 27001 A.8.15; SP 800-171 §3.3.1,evidence_captured,"Added by Phase 2 review — A.6.2.8 'AI system recording of event logs' is the direct AIMS counterpart to the audit log | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
ISO42001_A.7.4,ISO/IEC 42001:2023,"A.7.4               Quality of data for AI systems                   The organization shall define and document requirements
  for data quality and ensure that data used to develop and
  operate the AI system meet those requirements.",ISO_42001-2023.pdf,,,lliam_gov/security/audit_logger.py + evidence/sbom/ + hermes_cli/security_advisories.py,evidence/audit/data-quality-events.jsonl,ISO 27001 A.5.34,implemented,Plan cited 'Quality of system and data'; actual title is 'Quality of data for AI systems' | 2026-06-16: documented information authored in docs/governance/aims/aims-documented-information.md.
